IDMochila,PesoMaximo,NumeroItens,MelhorValor,MelhorPeso,TempoForcaBruta,TempoAlgGulosoValor,ValorAlgGulosoValor,PesoAlgGulosoValor,PrecisaoAlgGulosValor,EficienciaAlgGulosoValor,TempoAlgGulosoValorPeso,ValorAlgGulosoValorPeso,PesoAlgGulosoValorPeso,PrecisaoAlgGulosoValorPeso,EficienciaAlgGulosoValorPeso,TempoAlgGulosoAmbos,ValorAlgGulosoAmbos,PesoAlgGulosoAmbos,PrecisaoAlgGulosoAmbos,EficienciaAlgGulosoAmbos
286,54,25,389,54,3636614100ns,46700ns,122,54,31.36%,100.00%,16500ns,389,54,100.00%,100.00%,63200ns,389,54,100.00%,100.00%
287,54,25,399,53,3591281300ns,6600ns,58,51,14.54%,96.23%,4800ns,398,52,99.75%,98.11%,11400ns,398,52,99.75%,98.11%
288,54,25,396,54,3583353700ns,10900ns,74,54,18.69%,100.00%,9400ns,396,54,100.00%,100.00%,20300ns,396,54,100.00%,100.00%
289,54,25,333,52,3607766000ns,8000ns,67,54,20.12%,103.85%,5800ns,333,52,100.00%,100.00%,13800ns,333,52,100.00%,100.00%
290,54,25,357,54,3614636000ns,16500ns,124,54,34.73%,100.00%,6600ns,357,54,100.00%,100.00%,23100ns,357,54,100.00%,100.00%
291,54,25,365,54,3610432800ns,6400ns,129,54,35.34%,100.00%,4700ns,363,54,99.45%,100.00%,11100ns,363,54,99.45%,100.00%
292,54,25,344,54,3606554100ns,6900ns,104,52,30.23%,96.30%,7100ns,344,54,100.00%,100.00%,14000ns,344,54,100.00%,100.00%
293,54,25,306,54,3571623600ns,6300ns,67,54,21.90%,100.00%,4700ns,305,53,99.67%,98.15%,11000ns,305,53,99.67%,98.15%
294,54,25,376,54,3578527800ns,6100ns,91,51,24.20%,94.44%,5400ns,376,54,100.00%,100.00%,11500ns,376,54,100.00%,100.00%
295,54,25,431,54,3587841000ns,6200ns,88,52,20.42%,96.30%,5000ns,428,53,99.30%,98.15%,11200ns,428,53,99.30%,98.15%
296,54,25,362,54,3593939300ns,6200ns,103,54,28.45%,100.00%,5300ns,362,54,100.00%,100.00%,11500ns,362,54,100.00%,100.00%
297,54,25,427,54,3604941700ns,9500ns,130,54,30.44%,100.00%,5400ns,424,52,99.30%,96.30%,14900ns,424,52,99.30%,96.30%
298,54,25,378,53,3605790800ns,8200ns,138,54,36.51%,101.89%,5900ns,378,53,100.00%,100.00%,14100ns,378,53,100.00%,100.00%
299,54,25,442,54,3609861300ns,6500ns,106,54,23.98%,100.00%,6200ns,442,54,100.00%,100.00%,12700ns,442,54,100.00%,100.00%
300,54,25,367,54,3657598000ns,6800ns,74,52,20.16%,96.30%,4900ns,355,51,96.73%,94.44%,11700ns,355,51,96.73%,94.44%
301,54,25,340,54,3615001300ns,6500ns,114,54,33.53%,100.00%,4600ns,332,51,97.65%,94.44%,11100ns,332,51,97.65%,94.44%
302,54,25,410,54,3588377300ns,24400ns,128,52,31.22%,96.30%,9100ns,394,50,96.10%,92.59%,33500ns,394,50,96.10%,92.59%
303,54,25,493,54,3605896200ns,6200ns,92,52,18.66%,96.30%,5100ns,484,52,98.17%,96.30%,11300ns,484,52,98.17%,96.30%
304,54,25,365,54,3583768100ns,9100ns,98,50,26.85%,92.59%,5300ns,359,52,98.36%,96.30%,14400ns,359,52,98.36%,96.30%
305,54,25,382,54,3667006200ns,6600ns,72,54,18.85%,100.00%,4800ns,361,50,94.50%,92.59%,11400ns,361,50,94.50%,92.59%
306,54,25,482,54,3593856300ns,6600ns,209,52,43.36%,96.30%,4400ns,476,53,98.76%,98.15%,11000ns,476,53,98.76%,98.15%
307,54,25,414,54,3595406000ns,6400ns,68,52,16.43%,96.30%,4500ns,401,51,96.86%,94.44%,10900ns,401,51,96.86%,94.44%
308,54,25,366,54,3617801100ns,6200ns,65,51,17.76%,94.44%,4700ns,358,52,97.81%,96.30%,10900ns,358,52,97.81%,96.30%
309,54,25,374,54,3605997600ns,6100ns,56,53,14.97%,98.15%,4700ns,363,51,97.06%,94.44%,10800ns,363,51,97.06%,94.44%
310,54,25,332,54,3614670700ns,5900ns,57,54,17.17%,100.00%,4400ns,319,51,96.08%,94.44%,10300ns,319,51,96.08%,94.44%
311,54,25,375,54,3679140000ns,6100ns,60,54,16.00%,100.00%,5100ns,372,52,99.20%,96.30%,11200ns,372,52,99.20%,96.30%
312,54,25,418,54,3627410600ns,6100ns,110,51,26.32%,94.44%,4800ns,408,51,97.61%,94.44%,10900ns,408,51,97.61%,94.44%
313,54,25,380,54,3635797100ns,5800ns,102,54,26.84%,100.00%,5100ns,380,54,100.00%,100.00%,10900ns,380,54,100.00%,100.00%
314,54,25,432,54,3611289200ns,6300ns,89,51,20.60%,94.44%,4700ns,420,52,97.22%,96.30%,11000ns,420,52,97.22%,96.30%
315,54,25,372,54,3621773300ns,6600ns,81,54,21.77%,100.00%,4800ns,363,51,97.58%,94.44%,11400ns,363,51,97.58%,94.44%
316,54,25,378,54,3597527600ns,6700ns,78,54,20.63%,100.00%,4600ns,378,54,100.00%,100.00%,11300ns,378,54,100.00%,100.00%
317,54,25,453,54,3612873400ns,5900ns,78,54,17.22%,100.00%,4500ns,453,54,100.00%,100.00%,10400ns,453,54,100.00%,100.00%
318,54,25,410,54,3625439400ns,6500ns,90,54,21.95%,100.00%,4900ns,403,51,98.29%,94.44%,11400ns,403,51,98.29%,94.44%
319,54,25,367,54,3661186400ns,7400ns,79,52,21.53%,96.30%,4800ns,360,52,98.09%,96.30%,12200ns,360,52,98.09%,96.30%
320,54,25,413,54,3617658000ns,5700ns,61,54,14.77%,100.00%,4700ns,413,54,100.00%,100.00%,10400ns,413,54,100.00%,100.00%
321,54,25,362,54,3597926600ns,9000ns,103,54,28.45%,100.00%,5400ns,351,51,96.96%,94.44%,14400ns,351,51,96.96%,94.44%
322,54,25,384,54,3630558000ns,6200ns,83,51,21.61%,94.44%,4800ns,381,54,99.22%,100.00%,11000ns,381,54,99.22%,100.00%
323,54,25,369,53,3614449000ns,5900ns,112,52,30.35%,98.11%,4300ns,369,53,100.00%,100.00%,10200ns,369,53,100.00%,100.00%
324,54,25,439,54,3609277800ns,6300ns,97,53,22.10%,98.15%,8700ns,439,54,100.00%,100.00%,15000ns,439,54,100.00%,100.00%
325,54,25,369,54,3639468600ns,6200ns,133,54,36.04%,100.00%,4900ns,367,54,99.46%,100.00%,11100ns,367,54,99.46%,100.00%
326,54,25,365,54,3571750900ns,6200ns,84,53,23.01%,98.15%,4500ns,365,54,100.00%,100.00%,10700ns,365,54,100.00%,100.00%
327,54,25,338,53,3637978500ns,8300ns,89,54,26.33%,101.89%,5700ns,338,53,100.00%,100.00%,14000ns,338,53,100.00%,100.00%
328,54,25,286,54,3601401500ns,6000ns,66,53,23.08%,98.15%,9600ns,284,54,99.30%,100.00%,15600ns,284,54,99.30%,100.00%
329,54,25,305,54,3637531500ns,18400ns,30,51,9.84%,94.44%,6700ns,305,54,100.00%,100.00%,25100ns,305,54,100.00%,100.00%
330,54,25,357,54,3615499000ns,6600ns,82,54,22.97%,100.00%,4800ns,348,51,97.48%,94.44%,11400ns,348,51,97.48%,94.44%
331,54,25,394,54,3652543100ns,14900ns,98,52,24.87%,96.30%,4600ns,391,52,99.24%,96.30%,19500ns,391,52,99.24%,96.30%
332,54,25,356,54,3663408600ns,23900ns,39,53,10.96%,98.15%,9700ns,356,54,100.00%,100.00%,33600ns,356,54,100.00%,100.00%
333,54,25,412,54,3637324000ns,6800ns,97,52,23.54%,96.30%,4700ns,412,54,100.00%,100.00%,11500ns,412,54,100.00%,100.00%
334,54,25,448,52,3619358700ns,7000ns,81,52,18.08%,100.00%,4500ns,443,51,98.88%,98.08%,11500ns,443,51,98.88%,98.08%
335,54,25,329,54,3597863100ns,6800ns,52,51,15.81%,94.44%,5000ns,329,54,100.00%,100.00%,11800ns,329,54,100.00%,100.00%
336,54,25,403,54,3642043800ns,6400ns,85,52,21.09%,96.30%,4600ns,395,52,98.01%,96.30%,11000ns,395,52,98.01%,96.30%
337,54,25,437,54,3603792100ns,6200ns,111,51,25.40%,94.44%,5000ns,437,54,100.00%,100.00%,11200ns,437,54,100.00%,100.00%
338,54,25,453,54,3589948400ns,6600ns,109,54,24.06%,100.00%,5200ns,453,54,100.00%,100.00%,11800ns,453,54,100.00%,100.00%
339,54,25,409,54,3595851300ns,6400ns,209,54,51.10%,100.00%,4800ns,401,52,98.04%,96.30%,11200ns,401,52,98.04%,96.30%
340,54,25,388,54,3640609500ns,6300ns,85,54,21.91%,100.00%,4500ns,386,53,99.48%,98.15%,10800ns,386,53,99.48%,98.15%
341,54,25,406,54,3599601100ns,6600ns,111,51,27.34%,94.44%,5300ns,406,54,100.00%,100.00%,11900ns,406,54,100.00%,100.00%
342,54,25,340,54,3583025000ns,6200ns,74,53,21.76%,98.15%,4400ns,333,51,97.94%,94.44%,10600ns,333,51,97.94%,94.44%
343,54,25,419,53,3606105500ns,6400ns,114,54,27.21%,101.89%,5000ns,416,53,99.28%,100.00%,11400ns,416,53,99.28%,100.00%
344,54,25,358,54,3661157300ns,6400ns,67,53,18.72%,98.15%,4300ns,358,54,100.00%,100.00%,10700ns,358,54,100.00%,100.00%
345,54,25,353,54,3617033300ns,9100ns,64,54,18.13%,100.00%,4600ns,348,52,98.58%,96.30%,13700ns,348,52,98.58%,96.30%
346,54,25,409,54,3631114300ns,6200ns,81,54,19.80%,100.00%,5900ns,409,54,100.00%,100.00%,12100ns,409,54,100.00%,100.00%
347,54,25,430,54,3595284000ns,20200ns,43,51,10.00%,94.44%,5100ns,430,54,100.00%,100.00%,25300ns,430,54,100.00%,100.00%
348,54,25,348,54,3601492100ns,6400ns,112,54,32.18%,100.00%,7600ns,348,54,100.00%,100.00%,14000ns,348,54,100.00%,100.00%
349,54,25,333,54,3586309600ns,9100ns,47,53,14.11%,98.15%,4400ns,321,51,96.40%,94.44%,13500ns,321,51,96.40%,94.44%
350,54,25,375,54,3628968900ns,5600ns,32,52,8.53%,96.30%,4600ns,353,50,94.13%,92.59%,10200ns,353,50,94.13%,92.59%
351,54,25,379,54,3622958200ns,6800ns,78,52,20.58%,96.30%,5500ns,379,53,100.00%,98.15%,12300ns,379,53,100.00%,98.15%
352,54,25,378,54,3573886300ns,7700ns,65,51,17.20%,94.44%,5400ns,378,54,100.00%,100.00%,13100ns,378,54,100.00%,100.00%
353,54,25,367,54,3590447700ns,6900ns,74,54,20.16%,100.00%,5300ns,363,54,98.91%,100.00%,12200ns,363,54,98.91%,100.00%
354,54,25,368,54,3626822900ns,6000ns,109,54,29.62%,100.00%,5000ns,358,51,97.28%,94.44%,11000ns,358,51,97.28%,94.44%
355,54,25,370,54,3606589400ns,6000ns,99,52,26.76%,96.30%,4900ns,370,54,100.00%,100.00%,10900ns,370,54,100.00%,100.00%
356,54,25,373,54,3599684200ns,6300ns,60,51,16.09%,94.44%,4700ns,366,51,98.12%,94.44%,11000ns,366,51,98.12%,94.44%
357,54,25,386,54,3608235700ns,6600ns,97,52,25.13%,96.30%,4400ns,386,54,100.00%,100.00%,11000ns,386,54,100.00%,100.00%
358,54,25,398,54,3653457600ns,6400ns,80,54,20.10%,100.00%,4600ns,382,50,95.98%,92.59%,11000ns,382,50,95.98%,92.59%
359,54,25,410,54,3615628400ns,6300ns,80,53,19.51%,98.15%,4800ns,399,51,97.32%,94.44%,11100ns,399,51,97.32%,94.44%
360,54,25,394,54,3603862500ns,6500ns,68,52,17.26%,96.30%,7600ns,394,54,100.00%,100.00%,14100ns,394,54,100.00%,100.00%
361,54,25,350,53,3628263700ns,6200ns,28,53,8.00%,100.00%,4800ns,345,53,98.57%,100.00%,11000ns,345,53,98.57%,100.00%
362,54,25,368,53,3603268700ns,6100ns,58,52,15.76%,98.11%,4700ns,368,53,100.00%,100.00%,10800ns,368,53,100.00%,100.00%
363,54,25,368,53,3591286800ns,5900ns,55,54,14.95%,101.89%,4800ns,368,53,100.00%,100.00%,10700ns,368,53,100.00%,100.00%
364,54,25,391,54,3674013300ns,6100ns,38,52,9.72%,96.30%,5000ns,391,54,100.00%,100.00%,11100ns,391,54,100.00%,100.00%
365,54,25,305,54,3584095100ns,6300ns,83,53,27.21%,98.15%,4800ns,305,53,100.00%,98.15%,11100ns,305,53,100.00%,98.15%
366,54,25,429,54,3595263200ns,6300ns,102,53,23.78%,98.15%,4800ns,412,50,96.04%,92.59%,11100ns,412,50,96.04%,92.59%
367,54,25,423,54,3606842900ns,7000ns,112,51,26.48%,94.44%,4800ns,404,50,95.51%,92.59%,11800ns,404,50,95.51%,92.59%
368,54,25,361,54,3591401000ns,8100ns,91,54,25.21%,100.00%,5200ns,355,53,98.34%,98.15%,13300ns,355,53,98.34%,98.15%
369,54,25,387,54,3599442700ns,7600ns,68,54,17.57%,100.00%,5200ns,387,54,100.00%,100.00%,12800ns,387,54,100.00%,100.00%
370,54,25,404,54,3665942600ns,20100ns,41,54,10.15%,100.00%,12500ns,404,54,100.00%,100.00%,32600ns,404,54,100.00%,100.00%
371,54,25,457,54,3632329100ns,6400ns,93,53,20.35%,98.15%,4500ns,455,52,99.56%,96.30%,10900ns,455,52,99.56%,96.30%
372,54,25,401,54,3615395800ns,6300ns,61,54,15.21%,100.00%,4900ns,400,53,99.75%,98.15%,11200ns,400,53,99.75%,98.15%
373,54,25,400,52,3692496000ns,6500ns,133,53,33.25%,101.92%,4600ns,400,52,100.00%,100.00%,11100ns,400,52,100.00%,100.00%
374,54,25,387,54,3608480300ns,7400ns,99,54,25.58%,100.00%,4900ns,387,54,100.00%,100.00%,12300ns,387,54,100.00%,100.00%
375,54,25,359,54,3612876100ns,6600ns,85,52,23.68%,96.30%,5100ns,357,52,99.44%,96.30%,11700ns,357,52,99.44%,96.30%
376,54,25,434,53,3583457700ns,6600ns,83,51,19.12%,96.23%,5200ns,417,50,96.08%,94.34%,11800ns,417,50,96.08%,94.34%
377,54,25,423,54,3641125700ns,6100ns,75,53,17.73%,98.15%,5100ns,412,51,97.40%,94.44%,11200ns,412,51,97.40%,94.44%
378,54,25,413,54,3612810900ns,6500ns,69,54,16.71%,100.00%,4700ns,409,52,99.03%,96.30%,11200ns,409,52,99.03%,96.30%
379,54,25,414,54,3581906800ns,6200ns,67,53,16.18%,98.15%,4900ns,408,52,98.55%,96.30%,11100ns,408,52,98.55%,96.30%
380,54,25,382,54,3617046300ns,6300ns,106,53,27.75%,98.15%,4900ns,373,53,97.64%,98.15%,11200ns,373,53,97.64%,98.15%
381,54,25,344,54,3665890700ns,6500ns,76,51,22.09%,94.44%,4700ns,341,52,99.13%,96.30%,11200ns,341,52,99.13%,96.30%
382,54,25,341,54,3617726900ns,7000ns,75,51,21.99%,94.44%,4600ns,341,54,100.00%,100.00%,11600ns,341,54,100.00%,100.00%
383,54,25,380,54,3599511100ns,6200ns,81,54,21.32%,100.00%,4700ns,374,51,98.42%,94.44%,10900ns,374,51,98.42%,94.44%
384,54,25,436,54,3623456500ns,6700ns,145,53,33.26%,98.15%,5100ns,436,54,100.00%,100.00%,11800ns,436,54,100.00%,100.00%
385,54,25,362,54,3623606000ns,6200ns,83,54,22.93%,100.00%,4900ns,362,54,100.00%,100.00%,11100ns,362,54,100.00%,100.00%
386,54,25,394,53,3615023200ns,6600ns,99,53,25.13%,100.00%,4800ns,394,53,100.00%,100.00%,11400ns,394,53,100.00%,100.00%
387,54,25,415,53,3661598100ns,6400ns,80,54,19.28%,101.89%,4800ns,415,53,100.00%,100.00%,11200ns,415,53,100.00%,100.00%
388,54,25,435,52,3620873300ns,6700ns,59,54,13.56%,103.85%,5300ns,435,52,100.00%,100.00%,12000ns,435,52,100.00%,100.00%
389,54,25,244,54,3599555500ns,6000ns,39,52,15.98%,96.30%,5000ns,244,54,100.00%,100.00%,11000ns,244,54,100.00%,100.00%
390,54,25,417,54,3595089200ns,6400ns,73,53,17.51%,98.15%,4700ns,417,54,100.00%,100.00%,11100ns,417,54,100.00%,100.00%
391,54,25,423,54,3604890000ns,6900ns,87,53,20.57%,98.15%,4700ns,418,53,98.82%,98.15%,11600ns,418,53,98.82%,98.15%
392,54,25,427,54,3622983200ns,6400ns,146,54,34.19%,100.00%,5100ns,427,54,100.00%,100.00%,11500ns,427,54,100.00%,100.00%
393,54,25,306,54,3604806400ns,6500ns,63,53,20.59%,98.15%,5000ns,303,53,99.02%,98.15%,11500ns,303,53,99.02%,98.15%
394,54,25,442,54,3600799400ns,6500ns,67,53,15.16%,98.15%,5000ns,442,54,100.00%,100.00%,11500ns,442,54,100.00%,100.00%
395,54,25,357,54,3601613900ns,6100ns,118,53,33.05%,98.15%,5400ns,353,52,98.88%,96.30%,11500ns,353,52,98.88%,96.30%
396,54,25,365,54,3600878300ns,6400ns,71,54,19.45%,100.00%,4800ns,360,54,98.63%,100.00%,11200ns,360,54,98.63%,100.00%
397,54,25,396,54,3585112700ns,6700ns,67,53,16.92%,98.15%,4800ns,396,54,100.00%,100.00%,11500ns,396,54,100.00%,100.00%
398,54,25,384,54,3628407600ns,6000ns,56,54,14.58%,100.00%,5900ns,384,54,100.00%,100.00%,11900ns,384,54,100.00%,100.00%
399,54,25,422,53,3602662600ns,5700ns,87,54,20.62%,101.89%,4500ns,420,52,99.53%,98.11%,10200ns,420,52,99.53%,98.11%
400,54,25,421,54,3673315500ns,6400ns,57,54,13.54%,100.00%,5000ns,421,54,100.00%,100.00%,11400ns,421,54,100.00%,100.00%
401,54,25,367,54,3609615000ns,6000ns,51,54,13.90%,100.00%,5500ns,357,50,97.28%,92.59%,11500ns,357,50,97.28%,92.59%
402,54,25,362,54,3594914300ns,6800ns,87,53,24.03%,98.15%,4900ns,356,54,98.34%,100.00%,11700ns,356,54,98.34%,100.00%
403,54,25,330,54,3581570300ns,7400ns,92,54,27.88%,100.00%,4800ns,327,53,99.09%,98.15%,12200ns,327,53,99.09%,98.15%
404,54,25,398,54,3598615100ns,6900ns,88,54,22.11%,100.00%,4800ns,394,53,98.99%,98.15%,11700ns,394,53,98.99%,98.15%
405,54,25,378,54,3604043900ns,6100ns,101,52,26.72%,96.30%,4700ns,367,52,97.09%,96.30%,10800ns,367,52,97.09%,96.30%
406,54,25,385,53,3672871100ns,6900ns,103,53,26.75%,100.00%,5000ns,385,53,100.00%,100.00%,11900ns,385,53,100.00%,100.00%
407,54,25,434,54,3610377300ns,46300ns,186,52,42.86%,96.30%,20300ns,425,52,97.93%,96.30%,66600ns,425,52,97.93%,96.30%
408,54,25,391,53,3649496000ns,6000ns,76,51,19.44%,96.23%,5000ns,389,52,99.49%,98.11%,11000ns,389,52,99.49%,98.11%
409,54,25,293,54,3609658400ns,13400ns,99,52,33.79%,96.30%,6400ns,287,52,97.95%,96.30%,19800ns,287,52,97.95%,96.30%
410,54,25,365,54,3655974900ns,6700ns,55,53,15.07%,98.15%,4600ns,357,51,97.81%,94.44%,11300ns,357,51,97.81%,94.44%
411,54,25,352,54,3628589900ns,6200ns,75,54,21.31%,100.00%,5300ns,342,53,97.16%,98.15%,11500ns,342,53,97.16%,98.15%
412,54,25,432,54,3616190200ns,6000ns,75,52,17.36%,96.30%,5200ns,420,52,97.22%,96.30%,11200ns,420,52,97.22%,96.30%
413,54,25,335,54,3618243100ns,6600ns,78,52,23.28%,96.30%,4900ns,327,52,97.61%,96.30%,11500ns,327,52,97.61%,96.30%
414,54,25,377,54,3712083600ns,6200ns,152,54,40.32%,100.00%,5900ns,363,51,96.29%,94.44%,12100ns,363,51,96.29%,94.44%
415,54,25,373,53,3619290600ns,6700ns,87,51,23.32%,96.23%,4900ns,373,53,100.00%,100.00%,11600ns,373,53,100.00%,100.00%
416,54,25,418,54,3586749400ns,9000ns,77,52,18.42%,96.30%,4600ns,412,52,98.56%,96.30%,13600ns,412,52,98.56%,96.30%
417,54,25,346,54,3582503000ns,6400ns,46,53,13.29%,98.15%,4600ns,339,52,97.98%,96.30%,11000ns,339,52,97.98%,96.30%
418,54,25,372,53,3580443000ns,6300ns,92,52,24.73%,98.11%,4800ns,362,51,97.31%,96.23%,11100ns,362,51,97.31%,96.23%
419,54,25,405,54,3579233500ns,6300ns,102,54,25.19%,100.00%,4600ns,405,54,100.00%,100.00%,10900ns,405,54,100.00%,100.00%
420,54,25,377,54,3584156300ns,7000ns,76,53,20.16%,98.15%,4900ns,376,53,99.73%,98.15%,11900ns,376,53,99.73%,98.15%
421,54,25,472,54,3602215800ns,6900ns,146,53,30.93%,98.15%,5200ns,472,54,100.00%,100.00%,12100ns,472,54,100.00%,100.00%
422,54,25,449,53,3602122700ns,31000ns,163,54,36.30%,101.89%,10100ns,449,53,100.00%,100.00%,41100ns,449,53,100.00%,100.00%
423,54,25,407,53,3604262800ns,5800ns,168,52,41.28%,98.11%,4700ns,407,53,100.00%,100.00%,10500ns,407,53,100.00%,100.00%
424,54,25,357,53,3616138700ns,5900ns,52,50,14.57%,94.34%,4800ns,348,50,97.48%,94.34%,10700ns,348,50,97.48%,94.34%
425,54,25,411,54,3601300900ns,6500ns,70,54,17.03%,100.00%,4800ns,409,53,99.51%,98.15%,11300ns,409,53,99.51%,98.15%
426,54,25,388,54,3627345700ns,6400ns,108,54,27.84%,100.00%,5100ns,388,54,100.00%,100.00%,11500ns,388,54,100.00%,100.00%
427,54,25,336,53,3623228700ns,6300ns,49,51,14.58%,96.23%,5100ns,336,53,100.00%,100.00%,11400ns,336,53,100.00%,100.00%
428,54,25,443,54,3591534900ns,6800ns,116,53,26.19%,98.15%,4500ns,436,51,98.42%,94.44%,11300ns,436,51,98.42%,94.44%
429,54,25,361,54,3613222000ns,6000ns,60,54,16.62%,100.00%,5000ns,361,54,100.00%,100.00%,11000ns,361,54,100.00%,100.00%
430,54,25,372,54,3596466500ns,6000ns,149,54,40.05%,100.00%,4700ns,368,54,98.92%,100.00%,10700ns,368,54,98.92%,100.00%
431,54,25,372,54,3606746300ns,13900ns,48,53,12.90%,98.15%,5600ns,362,51,97.31%,94.44%,19500ns,362,51,97.31%,94.44%
432,54,25,427,54,3603785300ns,10900ns,112,54,26.23%,100.00%,6600ns,404,49,94.61%,90.74%,17500ns,404,49,94.61%,90.74%
433,54,25,366,54,3573322100ns,36800ns,60,51,16.39%,94.44%,13900ns,366,54,100.00%,100.00%,50700ns,366,54,100.00%,100.00%
434,54,25,428,53,3640176400ns,6500ns,91,54,21.26%,101.89%,4600ns,428,52,100.00%,98.11%,11100ns,428,52,100.00%,98.11%
435,54,25,367,54,3611215900ns,25300ns,78,53,21.25%,98.15%,10500ns,353,53,96.19%,98.15%,35800ns,353,53,96.19%,98.15%
436,54,25,349,54,3642805700ns,6100ns,85,54,24.36%,100.00%,5300ns,345,53,98.85%,98.15%,11400ns,345,53,98.85%,98.15%
437,54,25,413,53,3609399700ns,5800ns,50,52,12.11%,98.11%,7400ns,413,53,100.00%,100.00%,13200ns,413,53,100.00%,100.00%
438,54,25,401,54,3644465300ns,8400ns,135,52,33.67%,96.30%,6000ns,394,52,98.25%,96.30%,14400ns,394,52,98.25%,96.30%
439,54,25,443,54,3644596700ns,6800ns,126,54,28.44%,100.00%,4700ns,440,53,99.32%,98.15%,11500ns,440,53,99.32%,98.15%
440,54,25,375,54,3610209500ns,5700ns,67,51,17.87%,94.44%,5400ns,374,53,99.73%,98.15%,11100ns,374,53,99.73%,98.15%
441,54,25,391,54,3603375900ns,7500ns,73,52,18.67%,96.30%,7200ns,386,53,98.72%,98.15%,14700ns,386,53,98.72%,98.15%
442,54,25,388,53,3638584300ns,7400ns,59,53,15.21%,100.00%,5700ns,388,53,100.00%,100.00%,13100ns,388,53,100.00%,100.00%
443,54,25,293,54,3581288300ns,7600ns,70,53,23.89%,98.15%,5200ns,291,52,99.32%,96.30%,12800ns,291,52,99.32%,96.30%
444,54,25,306,54,3627431500ns,6400ns,103,52,33.66%,96.30%,4900ns,294,51,96.08%,94.44%,11300ns,294,51,96.08%,94.44%
445,54,25,406,53,3605770600ns,6300ns,144,54,35.47%,101.89%,4600ns,406,54,100.00%,101.89%,10900ns,406,54,100.00%,101.89%
446,54,25,390,54,3643227900ns,5600ns,100,54,25.64%,100.00%,5600ns,390,54,100.00%,100.00%,11200ns,390,54,100.00%,100.00%
447,54,25,363,54,3615991500ns,6000ns,62,54,17.08%,100.00%,5100ns,363,54,100.00%,100.00%,11100ns,363,54,100.00%,100.00%
448,54,25,366,54,3604290100ns,7400ns,118,54,32.24%,100.00%,5000ns,358,51,97.81%,94.44%,12400ns,358,51,97.81%,94.44%
449,54,25,437,54,3635182700ns,6200ns,134,53,30.66%,98.15%,4700ns,437,54,100.00%,100.00%,10900ns,437,54,100.00%,100.00%
450,54,25,484,54,3619259900ns,7500ns,64,53,13.22%,98.15%,5400ns,484,54,100.00%,100.00%,12900ns,484,54,100.00%,100.00%
451,54,25,369,54,3627210600ns,21900ns,140,52,37.94%,96.30%,6200ns,365,52,98.92%,96.30%,28100ns,365,52,98.92%,96.30%
452,54,25,467,54,3686488000ns,6500ns,199,52,42.61%,96.30%,5200ns,467,54,100.00%,100.00%,11700ns,467,54,100.00%,100.00%
453,54,25,363,52,3630728400ns,6300ns,106,54,29.20%,103.85%,4900ns,363,52,100.00%,100.00%,11200ns,363,52,100.00%,100.00%
454,54,25,346,54,3619309400ns,6000ns,53,51,15.32%,94.44%,4600ns,336,54,97.11%,100.00%,10600ns,336,54,97.11%,100.00%
455,54,25,463,53,3606142300ns,5900ns,60,52,12.96%,98.11%,4900ns,456,51,98.49%,96.23%,10800ns,456,51,98.49%,96.23%
456,54,25,388,54,3672348400ns,6600ns,90,54,23.20%,100.00%,4400ns,388,54,100.00%,100.00%,11000ns,388,54,100.00%,100.00%
457,54,25,417,54,3632172800ns,5600ns,99,52,23.74%,96.30%,4800ns,406,51,97.36%,94.44%,10400ns,406,51,97.36%,94.44%
458,54,25,374,54,3648266300ns,8600ns,77,53,20.59%,98.15%,5000ns,373,53,99.73%,98.15%,13600ns,373,53,99.73%,98.15%
459,54,25,426,54,3625056500ns,7000ns,99,53,23.24%,98.15%,4700ns,426,54,100.00%,100.00%,11700ns,426,54,100.00%,100.00%
460,54,25,422,54,3615837000ns,12500ns,81,52,19.19%,96.30%,5900ns,422,54,100.00%,100.00%,18400ns,422,54,100.00%,100.00%
461,54,25,385,54,3613326900ns,6500ns,135,53,35.06%,98.15%,4900ns,376,54,97.66%,100.00%,11400ns,376,54,97.66%,100.00%
462,54,25,376,54,3637773200ns,6600ns,95,54,25.27%,100.00%,4900ns,370,51,98.40%,94.44%,11500ns,370,51,98.40%,94.44%
463,54,25,464,54,3607026300ns,6800ns,127,52,27.37%,96.30%,4800ns,457,52,98.49%,96.30%,11600ns,457,52,98.49%,96.30%
464,54,25,322,53,3679714800ns,6200ns,49,54,15.22%,101.89%,4200ns,311,50,96.58%,94.34%,10400ns,311,50,96.58%,94.34%
465,54,25,431,52,3641345100ns,6200ns,86,53,19.95%,101.92%,5100ns,431,52,100.00%,100.00%,11300ns,431,52,100.00%,100.00%
466,54,25,386,54,3667969600ns,6900ns,113,54,29.27%,100.00%,5000ns,383,51,99.22%,94.44%,11900ns,383,51,99.22%,94.44%
467,54,25,375,52,3608474200ns,11400ns,80,54,21.33%,103.85%,7500ns,375,52,100.00%,100.00%,18900ns,375,52,100.00%,100.00%
468,54,25,404,54,3654672100ns,6200ns,197,54,48.76%,100.00%,5100ns,400,53,99.01%,98.15%,11300ns,400,53,99.01%,98.15%
469,54,25,405,53,3620027300ns,6200ns,102,54,25.19%,101.89%,4600ns,405,53,100.00%,100.00%,10800ns,405,53,100.00%,100.00%
470,54,25,380,54,3623605500ns,6100ns,67,51,17.63%,94.44%,4600ns,380,54,100.00%,100.00%,10700ns,380,54,100.00%,100.00%
