IDMochila,PesoMaximo,NumeroItens,MelhorValor,MelhorPeso,TempoForcaBruta,TempoAlgGulosoValor,ValorAlgGulosoValor,PesoAlgGulosoValor,PrecisaoAlgGulosValor,EficienciaAlgGulosoValor,TempoAlgGulosoValorPeso,ValorAlgGulosoValorPeso,PesoAlgGulosoValorPeso,PrecisaoAlgGulosoValorPeso,EficienciaAlgGulosoValorPeso,TempoAlgGulosoAmbos,ValorAlgGulosoAmbos,PesoAlgGulosoAmbos,PrecisaoAlgGulosoAmbos,EficienciaAlgGulosoAmbos
184,54,25,438,54,3608479100ns,6100ns,93,53,21.23%,98.15%,18100ns,433,53,98.86%,98.15%,24200ns,433,53,98.86%,98.15%
185,54,25,313,54,3582151200ns,5800ns,57,52,18.21%,96.30%,12000ns,307,53,98.08%,98.15%,17800ns,307,53,98.08%,98.15%
186,54,25,343,54,3570043000ns,11300ns,57,53,16.62%,98.15%,19000ns,343,54,100.00%,100.00%,30300ns,343,54,100.00%,100.00%
187,54,25,313,54,3598756500ns,6000ns,46,52,14.70%,96.30%,11600ns,309,52,98.72%,96.30%,17600ns,309,52,98.72%,96.30%
188,54,25,360,51,3583307500ns,6400ns,35,53,9.72%,103.92%,12000ns,360,51,100.00%,100.00%,18400ns,360,51,100.00%,100.00%
189,54,25,395,53,3596868800ns,8500ns,75,54,18.99%,101.89%,13800ns,392,54,99.24%,101.89%,22300ns,392,54,99.24%,101.89%
190,54,25,400,54,3672185700ns,15400ns,139,50,34.75%,92.59%,15500ns,400,54,100.00%,100.00%,30900ns,400,54,100.00%,100.00%
191,54,25,436,54,3594612500ns,10700ns,123,54,28.21%,100.00%,16500ns,436,54,100.00%,100.00%,27200ns,436,54,100.00%,100.00%
192,54,25,427,53,3602523900ns,6100ns,99,54,23.19%,101.89%,11200ns,427,53,100.00%,100.00%,17300ns,427,53,100.00%,100.00%
193,54,25,416,54,3582562900ns,23100ns,97,54,23.32%,100.00%,33000ns,416,54,100.00%,100.00%,56100ns,416,54,100.00%,100.00%
194,54,25,421,53,3586185100ns,6200ns,76,54,18.05%,101.89%,11300ns,421,53,100.00%,100.00%,17500ns,421,53,100.00%,100.00%
195,54,25,350,54,3584416300ns,6200ns,71,53,20.29%,98.15%,11500ns,341,52,97.43%,96.30%,17700ns,341,52,97.43%,96.30%
196,54,25,410,54,3579151400ns,6500ns,73,54,17.80%,100.00%,12200ns,410,54,100.00%,100.00%,18700ns,410,54,100.00%,100.00%
197,54,25,345,54,3612646200ns,13300ns,120,54,34.78%,100.00%,14300ns,342,53,99.13%,98.15%,27600ns,342,53,99.13%,98.15%
198,54,25,397,54,3612547900ns,6300ns,69,51,17.38%,94.44%,11100ns,393,50,98.99%,92.59%,17400ns,393,50,98.99%,92.59%
199,54,25,449,54,3591004800ns,6100ns,154,52,34.30%,96.30%,12500ns,447,52,99.55%,96.30%,18600ns,447,52,99.55%,96.30%
200,54,25,366,54,3570070400ns,6000ns,39,52,10.66%,96.30%,12600ns,355,50,96.99%,92.59%,18600ns,355,50,96.99%,92.59%
201,54,25,306,54,3583069400ns,5900ns,70,54,22.88%,100.00%,11600ns,301,52,98.37%,96.30%,17500ns,301,52,98.37%,96.30%
202,54,25,334,53,3648610900ns,7200ns,74,53,22.16%,100.00%,21600ns,334,53,100.00%,100.00%,28800ns,334,53,100.00%,100.00%
203,54,25,343,52,3655257200ns,29600ns,83,53,24.20%,101.92%,86100ns,343,52,100.00%,100.00%,115700ns,343,52,100.00%,100.00%
204,54,25,321,54,3645316100ns,6100ns,50,53,15.58%,98.15%,38900ns,316,50,98.44%,92.59%,45000ns,316,50,98.44%,92.59%
205,54,25,432,54,3599624700ns,6000ns,95,54,21.99%,100.00%,12300ns,416,50,96.30%,92.59%,18300ns,416,50,96.30%,92.59%
206,54,25,354,54,3581027300ns,6100ns,90,52,25.42%,96.30%,12700ns,336,50,94.92%,92.59%,18800ns,336,50,94.92%,92.59%
207,54,25,364,54,3598194100ns,6400ns,67,54,18.41%,100.00%,11700ns,349,51,95.88%,94.44%,18100ns,349,51,95.88%,94.44%
208,54,25,417,54,3609904300ns,6200ns,90,54,21.58%,100.00%,12000ns,417,54,100.00%,100.00%,18200ns,417,54,100.00%,100.00%
209,54,25,386,54,3618052300ns,8800ns,74,54,19.17%,100.00%,12000ns,376,52,97.41%,96.30%,20800ns,376,52,97.41%,96.30%
210,54,25,422,54,3672265000ns,6400ns,92,51,21.80%,94.44%,14600ns,404,50,95.73%,92.59%,21000ns,404,50,95.73%,92.59%
211,54,25,362,54,3587523100ns,6400ns,60,53,16.57%,98.15%,11400ns,358,52,98.90%,96.30%,17800ns,358,52,98.90%,96.30%
212,54,25,363,53,3613509700ns,6100ns,45,53,12.40%,100.00%,11800ns,353,50,97.25%,94.34%,17900ns,353,50,97.25%,94.34%
213,54,25,447,54,3620894700ns,7000ns,92,54,20.58%,100.00%,12400ns,444,52,99.33%,96.30%,19400ns,444,52,99.33%,96.30%
214,54,25,423,54,3598078100ns,8500ns,106,52,25.06%,96.30%,13300ns,421,54,99.53%,100.00%,21800ns,421,54,99.53%,100.00%
215,54,25,368,54,3595928800ns,7200ns,75,54,20.38%,100.00%,37400ns,354,51,96.20%,94.44%,44600ns,354,51,96.20%,94.44%
216,54,25,389,54,3662197600ns,6500ns,79,52,20.31%,96.30%,40000ns,379,51,97.43%,94.44%,46500ns,379,51,97.43%,94.44%
217,54,25,335,53,3579670900ns,6100ns,82,52,24.48%,98.11%,11300ns,335,53,100.00%,100.00%,17400ns,335,53,100.00%,100.00%
